フシギダネ,Bulbasaur
ダンゴロ,Roggenrola
ガントル,Boldore
ギガイアス,Gigalith
コロモリ,Woobat
ココロモリ,Swoobat
モグリュー,Drilbur
ドリュウズ,Excadrill
ドッコラー,Timburr
ドテッコツ,Gurdurr
ローブシン,Conkeldurr
オタマロ,Tympole
ガマガル,Palpitoad
ガマゲロゲ,Seismitoad
ナゲキ,Throh
ダゲキ,Sawk
モンメン,Cottonee
エルフーン,Whimsicott
バスラオ,Basculin
ダルマッカ,Darumaka
ヒヒダルマ,Darmanitan
マラカッチ,Maractus
イシズマイ,Dwebble
イワパレス,Crustle
ズルッグ,Scraggy
ズルズキン,Scrafty
シンボラー,Sigilyph
デスマス,Yamask
デスカーン,Cofagrigus
ヤブクロン,Trubbish
ダストダス,Garbodor
チラーミィ,Minccino
チラチーノ,Cinccino
ゴチム,Gothita
ゴチミル,Gothorita
ゴチルゼル,Gothitelle
ユニラン,Solosis
ダブラン,Duosion
ランクルス,Reuniclus
バニプッチ,Vanillite
バニリッチ,Vanillish
バイバニラ,Vanilluxe
カブルモ,Karrablast
シュバルゴ,Escavalier
プルリル,Frillish
ブルンゲル,Jellicent
バチュル,Joltik
デンチュラ,Galvantula
テッシード,Ferroseed
ナットレイ,Ferrothorn
ギアル,Klink
ギギアル,Klang
ギギギアル,Klinklang
リグレー,Elgyem
オーベム,Beheeyem
ヒトモシ,Litwick
ランプラー,Lampent
シャンデラ,Chandelure
キバゴ,Axew
オノンド,Fraxure
オノノクス,Haxorus
クマシュン,Cubchoo
ツンベアー,Beartic
チョボマキ,Shelmet
アギルダー,Accelgor
マッギョ,Stunfisk
ゴビット,Golett
ゴルーグ,Golurk
コマタナ,Pawniard
キリキザン,Bisharp
ワシボン,Rufflet
ウォーグル,Braviary
バルチャイ,Vullaby
バルジーナ,Mandibuzz
クイタラン,Heatmor
アイアント,Durant
モノズ,Deino
ジヘッド,Zweilous
サザンドラ,Hydreigon
コバルオン,Cobalion
テラキオン,Terrakion
ビリジオン,Virizion
レシラム,Reshiram
ゼクロム,Zekrom
キュレム,Kyurem
ケルディオ,Keldeo
ホルビー,Bunnelby
ホルード,Diggersby
ヤンチャム,Pancham
ゴロンダ,Pangoro
ニャスパー,Espurr
ニャオニクス,Meowstic
ヒトツキ,Honedge
ニダンギル,Doublade
ギルガルド,Aegislash
シュシュプ,Spritzee
フレフワン,Aromatisse
ペロッパフ,Swirlix
ペロリーム,Slurpuff
マーイーカ,Inkay
カラマネロ,Malamar
カメテテ,Binacle
ガメノデス,Barbaracle
エリキテル,Helioptile
エレザード,Heliolisk
ニンフィア,Sylveon
ルチャブル,Hawlucha
ヌメラ,Goomy
ヌメイル,Sliggoo
ヌメルゴン,Goodra
ボクレー,Phantump
オーロット,Trevenant
バケッチャ,Pumpkaboo
パンプジン,Gourgeist
カチコール,Bergmite
クレベース,Avalugg
オンバット,Noibat
オンバーン,Noivern
モクロー,Rowlet
フクスロー,Dartrix
ジュナイパー,Decidueye
ニャビー,Litten
ニャヒート,Torracat
ガオガエン,Incineroar
アシマリ,Popplio
オシャマリ,Brionne
アシレーヌ,Primarina
アゴジムシ,Grubbin
デンヂムシ,Charjabug
クワガノン,Vikavolt
アブリー,Cutiefly
アブリボン,Ribombee
ヨワシ,Wishiwashi
ヒドイデ,Mareanie
ドヒドイデ,Toxapex
ドロバンコ,Mudbray
バンバドロ,Mudsdale
シズクモ,Dewpider
オニシズクモ,Araquanid
ネマシュ,Morelull
マシェード,Shiinotic
ヤトウモリ,Salandit
エンニュート,Salazzle
ヌイコグマ,Stufful
キテルグマ,Bewear
アマカジ,Bounsweet
アママイコ,Steenee
アマージョ,Tsareena
ヤレユータン,Oranguru
ナゲツケサル,Passimian
コソクムシ,Wimpod
グソクムシャ,Golisopod
ナマコブシ,Pyukumuku
タイプ:ヌル,Type: Null
シルヴァディ,Silvally
バクガメス,Turtonator
トゲデマル,Togedemaru
ミミッキュ,Mimikyu
ジジーロン,Drampa
ダダリン,Dhelmise
ジャラコ,Jangmo-o
ジャランゴ,Hakamo-o
ジャラランガ,Kommo-o
コスモッグ,Cosmog
コスモウム,Cosmoem
ソルガレオ,Solgaleo
ルナアーラ,Lunala
ネクロズマ,Necrozma
マーシャドー,Marshadow
ゼラオラ,Zeraora
メルタン,Meltan
メルメタル,Melmetal
サルノリ,Grookey
バチンキー,Thwackey
ゴリランダー,Rillaboom
ヒバニー,Scorbunny
ラビフット,Raboot
エースバーン,Cinderace
メッソン,Sobble
ジメレオン,Drizzile
インテレオン,Inteleon
ホシガリス,Skwovet
ヨクバリス,Greedent
ココガラ,Rookidee
アオガラス,Corvisquire
アーマーガア,Corviknight
サッチムシ,Blipbug
レドームシ,Dottler
イオルブ,Orbeetle
クスネ,Nickit
フォクスライ,Thievul
ヒメンカ,Gossifleur
ワタシラガ,Eldegoss
ウールー,Wooloo
バイウールー,Dubwool
カムカメ,Chewtle
カジリガメ,Drednaw
ワンパチ,Yamper
パルスワン,Boltund
タンドン,Rolycoly
トロッゴン,Carkol
セキタンザン,Coalossal
カジッチュ,Applin
アップリュー,Flapple
タルップル,Appletun
スナヘビ,Silicobra
サダイジャ,Sandaconda
ウッウ,Cramorant
サシカマス,Arrokuda
カマスジョー,Barraskewda
エレズン,Toxel
ストリンダー,Toxtricity
ヤクデ,Sizzlipede
マルヤクデ,Centiskorch
タタッコ,Clobbopus
オトスパス,Grapploct
ヤバチャ,Sinistea
ポットデス,Polteageist
ミブリム,Hatenna
テブリム,Hattrem
ブリムオン,Hatterene
ベロバー,Impidimp
ギモー,Morgrem
オーロンゲ,Grimmsnarl
タチフサグマ,Obstagoon
ニャイキング,Perrserker
サニゴーン,Cursola
ネギガナイト,Sirfetch'd
バリコオル,Mr. Rime
デスバーン,Runerigus
マホミル,Milcery
マホイップ,Alcremie
タイレーツ,Falinks
バチンウニ,Pincurchin
ユキハミ,Snom
モスノウ,Frosmoth
イシヘンジン,Stonjourner
コオリッポ,Eiscue
イエッサン,Indeedee
モルペコ,Morpeko
ゾウドウ,Cufant
ダイオウドウ,Copperajah
パッチラゴン,Dracozolt
パッチルドン,Arctozolt
ウオノラゴン,Dracovish
ウオチルドン,Arctovish
ジュラルドン,Duraludon
ドラメシヤ,Dreepy
ドロンチ,Drakloak
ドラパルト,Dragapult
ザシアン,Zacian
ザマゼンタ,Zamazenta
ムゲンダイナ,Eternatus
♂,Male
♀,Female
あお,Blue
あか,Red
あかつき,Dawn Wings
アローラ,Alola
ウォッシュ,Wash
カット,Mow
ガラル,Galarian
ガラルダルマ,Galarian Zen
キョダイ,Gigantamax
シールド,Shield
スピン,Fan
たそがれ,Dusk Mane
ダルマ,Zen
ノーマル,Normal
ハイ,Amped
ハイキョダイ,Amped Gigantamax
ヒート,Heat
ブラック,Black
ブレード,Sword
フロスト,Frost
ホワイト,White
ロー,Low Key
ローキョダイ,Low Key Gigantamax
群れ,School
剣の王,Crowned Sword
盾の王,Crowned Shield
小,Small
大,Large
単独,Solo
特大,Super
普通,Average
歴戦の勇者,Hero of Many Battles
